Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_285,c_4,c_5,c_1,m_2,0.7158,0.8329783498764038
model_286,c_1,c_5,m_1,m_1,0.71,0.8434113463401794
model_287,c_1,c_3,m_1,-,0.7152,0.8510912468910218
model_288,c_9,c_10,s,-,0.7011,0.8853812638282776
model_289,c_7,c_9,c_4,c_10,0.6996,1.0208803637504578
model_290,c_12,c_3,c_5,c_7,0.6976,0.8938247783660889
model_291,c_7,m_2,m_1,s,0.7191,0.8488991505622864
model_292,c_11,c_10,m_3,c_6,0.7571,0.7329953944206238
model_293,c_8,c_11,s,-,0.6823,0.9216693418502807
model_294,c_2,c_4,c_6,s,0.7001,0.8914868805885315
model_295,c_9,c_8,c_11,c_12,0.7523,0.7753021321296691
model_296,c_9,c_3,c_1,c_7,0.7257,0.8238882668495178
model_297,c_1,c_12,c_1,c_5,0.7022,0.8706578784942627
model_298,c_3,c_5,c_2,c_4,0.7299,0.7980211422920227
